# LAMMPS data file written by WriteLammpsdata function in RASPA(written by Zhao Li)
1007  atoms
0  bonds
0  angles
0  dihedrals
0  impropers
0.0      36.174000000000 xlo xhi
0.0      31.409760388580 ylo yhi
0.0      39.621370056408 zlo zhi
  -18.246440127652    -0.161748620188    -0.088923995918 xy xz yz

5 atom types
0 bond types
0 angle types
0 dihedral types
0 improper types

Masses

1     83.800000000000  # Kr_
2     15.999404927130  # O
3     12.010735896764  # C
4     51.996133070619  # Cr
5      1.007940753896  # H

Pair Coeffs

1      0.330670586763      3.636000000000 # Kr_
2      0.059993659942      3.120000000000 # O
3      0.104983936891      3.430000000000 # C
4      0.015003382993      2.690000000000 # Cr
5      0.043996675426      2.570000000000 # H

Atoms

80  1  5                 0.0		           3.74210             5.84712             9.43167		# H
81  1  3                 0.0		           8.95770             0.02029            19.71757		# C
82  1  3                 0.0		          -1.23620            15.54021             0.66703		# C
83  1  3                 0.0		          -1.20938            14.62523             1.72333		# C
84  1  3                 0.0		          -0.02702            13.92613             2.03495		# C
85  1  3                 0.0		           1.12598            14.16470             1.26293		# C
86  1  3                 0.0		           1.09581            15.08078             0.20682		# C
87  1  3                 0.0		           8.92796             0.96455            18.63215		# C
88  1  3                 0.0		           8.90504             1.75780            17.72482		# C
89  1  5                 0.0		           6.96770             0.36352             0.44317		# H
90  1  5                 0.0		          -2.11562            14.46533             2.29408		# H
91  1  5                 0.0		           2.05165            13.64345             1.47312		# H
92  1  5                 0.0		           1.91240            15.20676            19.43468		# H
93  1  3                 0.0		          13.41878             7.79114            19.75601		# C
94  1  3                 0.0		          -3.83288             6.95062             0.71992		# C
95  1  3                 0.0		          -3.06454             7.42676             1.78574		# C
96  1  3                 0.0		          -3.03548             8.80635             2.10013		# C
97  1  3                 0.0		          -3.80702             9.68573             1.30434		# C
98  1  3                 0.0		          -4.57324             9.20189             0.23971		# C
99  1  3                 0.0		          12.62706             7.29544            18.66107		# C
100  1  3                 0.0		          11.96034             6.88053            17.74661		# C
101  1  5                 0.0		          14.24928             5.88962             0.50002		# H
102  1  5                 0.0		          -2.49295             6.70619             2.35886		# H
103  1  5                 0.0		          -3.82262            10.75197             1.49729		# H
104  1  5                 0.0		          -5.23652             9.85135            19.45568		# H
105  1  3                 0.0		           4.45528             7.77930            19.71401		# C
106  1  3                 0.0		           3.34421             7.14859             0.18939		# C
107  1  3                 0.0		           2.53132             7.57387             1.24490		# C
108  1  3                 0.0		           2.90195             8.68244             2.03000		# C
