"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","Min","Median","Q1","predicted"
"1","10",0.85,11.4,14.1,4856,2110,201.636215667,-1643.93,-169.239,-430.804,201.074960321246
"2","10010",0.93,14.8,27.7,7220,1249,189.3292609972,-1197.39,-53.7919,-236.45975,183.773971646172
"3","10028",0.96,21.8,41.3,7743,805,59.6419909775,-1164.28,-14.89755,-97.78425,60.4623457331935
"4","10039",0.96,24.7,44.5,8035,710,55.471280478,-1302.09,-8.17461,-74.183025,53.3269344664979
"5","10044",0.97,28.6,50.5,7157,578,27.4821265606,-1149.68,-3.72365,-46.0787,30.2276783032233
"6","1006",0.89,28.3,30,5129,1502,164.5334445169,-1602.55,-47.1093,-325.683,166.583074690591
"7","10066",0.96,22.3,40.8,7346,813,81.3733749261,-1453.71,-14.1006,-109.6715,77.1100218218254
"8","10069",0.96,23.9,42.2,7970,765,71.6359130006,-1382.71,-10.89705,-97.506075,69.179925582428
"9","10094",0.98,32.2,57,9589,494,27.1789296786,-1011.58,-0.863743,-33.2621,27.0356275707979
"10","10155",0.88,22.8,28.8,2871,913,61.0136388368,-1978.05,-16.78745,-110.89675,65.0575761727569
"11","10200",0.9,28.4,32.8,2911,805,69.1287804644,-2161.4,-11.0298,-94.60625,68.5327127152348
"12","10207",0.95,36.8,41,4415,720,50.2735325542,-1542.85,-2.14069,-49.2279,51.8770269628978
"13","10211",0.95,42.1,47.8,3854,580,53.1964901192,-2457.61,0,-35.4406,50.5594393914196
"14","10247",0.88,26.4,30.6,2625,810,75.9869000936,-2063.81,-12.358,-100.9375,73.68095509988
"15","10255",0.94,35.8,40.1,4465,715,53.4667364913,-1670.93,-1.919335,-48.298375,54.2633907496899
"16","10265",0.95,40.2,48.5,3854,544,47.0890626958,-2664.26,-0.1418075,-30.495775,49.6853324884623
"17","10267",0.86,20.6,26.1,2479,1013,89.0796435916,-2230.85,-26.8604,-148.92575,94.4886915664775
"18","10288",0.87,21,26.4,2546,991,97.6988890515,-2314.6,-24.4643,-146.013,94.5480027712512
"19","10292",0.88,24.6,28.8,2657,868,78.6666673467,-2321.47,-13.725,-109.88975,73.5913715008313
"20","10294",0.91,31.8,37.1,3103,701,63.7902292456,-2187.38,-4.83253,-68.3161,63.4527988710886
"21","10305",0.95,41.6,45.8,4610,606,45.0077068175,-1971.02,-0.288076,-36.3548,48.4395073496353
"22","10328",0.972585,52.8737,59.16515,5771.927978,440.522897,35.1602192004,-1972.22,0,-13.45035,40.0772105137538
"23","1033",0.88,25.4,27.6,4138,1519,191.2080031617,-1556.14,-67.5909,-386.4065,187.911395702843
