"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","predicted"
"1","10",0.85,11.4,14.1,4856,2110,233.9553613981,239.438921924648
"2","10009",0.92,13.9,26.6,5850,1299,129.1866086552,120.756972338623
"3","10011",0.93,14.8,28.3,7378,1238,122.7831435234,107.713986153029
"4","10036",0.96,23.4,42.3,8823,774,49.6675966264,54.5265679329025
"5","1004",0.88,25.1,27,4287,1608,179.6684289005,174.050785810281
"6","10043",0.97,28.5,52.1,7827,589,43.1417337352,39.8932569330381
"7","10047",0.91,11.4,23.3,5873,1454,177.8021994986,165.057196918265
"8","1005",0.9,29.5,30.5,5270,1481,166.4507114845,165.701879711838
"9","10071",0.96,22.9,39.6,7016,748,46.770533883,57.9283673373588
"10","10073",0.96,23.2,42.3,7672,779,71.2701788957,58.7369346892012
"11","10081",0.97,26.4,45.1,8595,668,34.7117050027,45.3104947977811
"12","1012",0.92,35.9,36.7,5933,1286,140.6670162579,131.262487883659
"13","1016",0.93,36.9,38.8,6191,1254,143.8817333367,130.890817617862
"14","10163",0.93,35.2,41.2,3368,639,65.0091538982,76.3037820072666
"15","10179",0.95,38.5,42.9,5213,667,45.7236172452,65.0841225921281
"16","10202",0.91,28.7,33.4,3478,850,63.5026025832,89.649372114691
"17","1022",0.85,22.9,23.7,3433,1467,197.3624623865,180.248910647662
"18","10221",0.95,41,50.3,4187,557,50.0798007454,59.1935065463081
"19","10265",0.95,40.2,48.5,3854,544,53.0858423854,60.8573729121624
"20","10272",0.96,44,49.2,5613,587,43.8450234521,48.4050033427787
"21","10275",0.96,43.4,48.3,5603,579,43.5818034571,49.983584236689
"22","10286",0.976667,56.30266,62.96676,6527.370641,414.950064,33.0089212586,43.1450102134268
"23","10292",0.88,24.6,28.8,2657,868,79.8196859812,105.593899003639
"24","10304",0.89,24.8,31,2748,883,64.9168840281,95.2336771296029
"25","10312",0.97,44,48.5,5459,557,37.4839848938,49.2343502077781
"26","10326",0.91,27.4,31.9,3204,879,75.0317564765,81.8377597714101
"27","10337",0.91,27,32.7,2999,821,71.8088284129,80.7950344674358
"28","10343",0.92,32.4,37.3,3289,726,67.402488931,82.1888819706848
"29","10355",0.96,47,54.4,4351,506,55.032628575,48.5560239830067
"30","10361",0.96,47.1,56.4,3391,392,40.5299928495,53.9183800260728
"31","1042",0.88,29.2,30.5,3766,1353,173.4000617628,160.67612604103
"32","1044",0.89,29.2,30.5,3823,1394,165.8916635178,157.38902914179
"33","1055",0.89,33.5,35,3932,1321,136.2229050952,139.068826151681
"34","1066",0.91,39.5,40.9,3952,1134,110.1000677719,117.245277945171
"35","1067",0.93,41,41.8,5140,1143,91.1804356497,108.578356816696
"36","1073",0.92,42.8,44.2,5401,1199,120.9830920358,122.195073371326
"37","1078",0.93,42.1,44.3,5404,1110,108.8663294669,107.478128461715
"38","1079",0.93,45.3,46.6,5150,1031,98.4454066987,102.738584855711
"39","1091",0.83,29.5,29.8,2250,1208,168.6455551493,161.037905557881
"40","10928",0.9,21.7,22.4,4629,1493,182.3533530932,149.635991318882
"41","10931",0.95,29,31,5836,1032,103.5343117038,81.8254389143101
"42","10960",0.95,30.2,32.3,7011,972,78.3133966534,73.1526723278437
"43","10970",0.96,35.3,38,7395,796,59.3504123134,61.1488999293252
"44","10978",0.87,20.1,22.1,4278,1741,204.9972323821,182.282085912653
"45","10990",0.89,18.4,20.3,5199,1580,180.4723604121,175.837119749935
"46","10999",0.94,38.2,39.6,6879,1076,76.7190031278,93.599386731363
"47","11001",0.73,28.7,29.2,1853,968,128.788701596,131.440336320876
"48","11002",0.92,27.6,29.2,5253,1145,115.2637571404,116.768128547771
"49","11008",0.86,19.6,21.6,4078,1390,179.1500351964,174.281137899663
"50","11011",0.9,22.2,24.4,4232,1330,142.8413980323,141.248018671335
"51","11015",0.92,26.7,28.8,5435,1192,126.0193247524,122.682773346959
"52","11016",0.93,27.2,29.5,5163,1187,112.7203030474,121.569700197479
"53","11034",0.96,31.1,35.9,7439,904,65.4569261777,58.8638235801956
"54","11049",0.88,17.1,18.3,4317,1565,189.4541434493,168.77924948528
"55","11050",0.85,10.4,14.7,4293,2002,244.1693484756,237.614207495012
"56","11052",0.87,20.9,22,3985,1375,187.5816566623,170.418281491563
"57","11056",0.92,25.5,28,6431,1167,95.5606689356,110.743003074035
"58","11071",0.86,11.9,20.6,3860,1718,126.436045788,193.84402391433
"59","11073",0.88,12.4,20.1,4843,1724,146.7173997824,189.761214925488
"60","11074",0.91,13.9,23.2,5122,1481,64.1644750888,152.795639842437
"61","11079",0.92,16.8,26.8,5888,1429,102.0936374424,145.96556911055
"62","11098",0.95,21.2,33.1,6740,1046,50.7416409143,79.5150527134785
"63","11099",0.95,22,35,6773,963,64.9473264367,72.5078111857677
"64","11111",0.81,10.2,15.5,3460,1979,189.8126912463,218.794547283817
"65","11134",0.95,19,30.9,7665,1043,48.7174431538,79.6568881376814
"66","11137",0.83,13.1,14.4,3995,1814,223.8691166884,215.173210828445
"67","11139",0.94,22.7,31.4,6587,1179,109.8800997098,81.7716953487426
"68","11163",0.77,6.7,9.4,2062,1846,228.2766265109,219.592109657235
"69","11180",0.94,19.2,28.7,6396,1093,89.8747668891,94.6431943182756
"70","11186",0.95,21,29.2,6661,1016,68.3851997254,74.8867499634434
