%IncMSE,IncNodePurity,varnames,midpoints
11.980878148066827,16641.164335811703,"-Inf to
-8.7",-Inf
10.832032069149964,232808.6269765583,"-4.9 to
-4.7",-4.8
8.407197235402524,53125.94321089444,"-4.7 to
-4.5",-4.6
9.784626124065262,41198.46539332539,"-4.5 to
-4.3",-4.4
7.727519787205434,17607.573162137982,"-4.3 to
-4.1",-4.2
8.628325689360777,21639.03991156471,"-4.1 to
-3.9",-4
12.528145664736373,10191.98406100124,"-3.9 to
-3.7",-3.8
10.539560109403622,7445.309520791924,"-3.7 to
-3.5",-3.6
6.280572980848233,7213.380590194365,"-3.5 to
-3.3",-3.4
9.217928277163857,5467.555869785464,"-3.3 to
-3.1",-3.2
5.16064347930577,2483.591295236273,"-3.1 to
-3",-3.05
12.981900368028505,43281.361726426556,"-8.7 to
-7.6",-8.15
5.641654743274528,2886.451938222791,"-3 to
-2.9",-2.95
6.931134983618206,4937.657610010992,"-2.9 to
-2.8",-2.85
8.113267759825149,3529.9658600368316,"-2.8 to
-2.7",-2.75
5.0570778937358325,2538.818926665309,"-2.7 to
-2.6",-2.65
5.95257361504736,3313.5606065535967,"-2.6 to
-2.5",-2.55
7.927047922720844,3939.33514913768,"-2.5 to
-2.4",-2.45
6.9795539971566285,3147.635137279022,"-2.4 to
-2.3",-2.35
7.174228849474628,3690.22746546086,"-2.3 to
-2.2",-2.25
9.249167933911004,8740.927698905894,"-2.2 to
-2.1",-2.15
6.576098161295819,3107.29140446041,"-2.1 to
-2",-2.05
13.118596698413256,51223.85162672293,"-7.6 to
-6.9",-7.25
4.832504072172143,4703.583036970712,"-2 to
-1.9",-1.95
10.244242203312469,6078.097880478784,"-1.9 to
-1.8",-1.85
10.002285171644743,4569.567221789901,"-1.8 to
-1.7",-1.75
8.837854188997564,5357.763303599984,"-1.7 to
-1.6",-1.65
10.537943442951057,6773.822906943296,"-1.6 to
-1.5",-1.55
10.594713125767663,5456.680731060957,"-1.5 to
-1.4",-1.45
10.722588721103092,9320.961115151365,"-1.4 to
-1.3",-1.35
12.383775589903765,6826.872423537562,"-1.3 to
-1.2",-1.25
11.97715628884692,5032.970905236553,"-1.2 to
-1.1",-1.15
10.538170692560655,11774.670356584746,"-1.1 to
-1",-1.05
11.799938070191237,57024.48733122482,"-6.9 to
-6.4",-6.65
9.512244151508549,4931.6124075878715,"-1 to
-0.9",-0.95
8.253050946456153,4687.243349677597,"-0.9 to
-0.8",-0.85
7.078015946723207,3655.3039226316087,"-0.8 to
-0.7",-0.75
9.168042226423228,3559.2903151922187,"-0.7 to
-0.6",-0.65
8.705489545752497,2843.5166977632334,"-0.6 to
-0.5",-0.55
5.301050552943262,3133.0703431524985,"-0.5 to
-0.4",-0.45
5.790341055153378,3221.6952111516594,"-0.4 to
-0.3",-0.35
8.918502112173261,9793.06824830149,"-0.3 to
-0.2",-0.25
17.880788501397717,62773.236304777005,"-0.2 to
-0.1",-0.15
24.820824317816527,179768.4620209844,"-0.1 to
0",-0.05
12.099889167194396,204156.05221991867,"-6.4 to
-6",-6.2
14.907190216659192,458489.6316461321,"-6 to
-5.7",-5.85
15.742884516518586,471503.5234113496,"-5.7 to
-5.4",-5.55
13.4890996032033,441942.133359414,"-5.4 to
-5.1",-5.25
14.834140081108513,401874.11690466176,"-5.1 to
-4.9",-5
17.01643317332243,199833.59854307966,Inf,2
