ID Temp Pres Molec_cm3overcm3
XOVVIO_clean 298 10000 0.3790510473
ZODYAU_clean 298 10000 54.1948803341
EBUQEX_clean 298 10000 69.8506774521
EHUTAE_clean 298 10000 109.4693510806
FEZTIP_clean 298 10000 59.2219081787
FOVPEN_clean 298 10000 48.9983092964
GEBPAG_clean 298 10000 87.6769837563
HACNIL_clean 298 10000 72.2251684292
HAJRES_clean 298 10000 45.6527335618
ic202626c_si_002_clean 298 10000 0.013266139
j.inoche.2015.12.010_inc06192-mmc1_clean 298 10000 20.6196250567
LAPNUO_clean 298 10000 83.6063700034
OHATEY_clean 298 10000 0.3788336002
OZAVOC_clean 298 10000 59.8047978299
PEWKOT_clean 298 10000 14.6934730664
QAGDIO_clean 298 10000 102.3095061538
QEWDON_clean 298 10000 46.0539301809
ROLCEC02_clean 298 10000 0.0634737217
TAWYUO_clean 298 10000 50.9060691173
UTADIE_clean 298 10000 79.2833726404
UTOCAJ_clean 298 10000 60.6118371762
UXIQOJ_clean 298 10000 87.7505651588
VURNED01_clean 298 10000 91.9407369076
ACODON_clean 298 10000 72.8167885554
ERUFOM_clean 298 10000 8.8577075761
EXEWAG_clean 298 10000 70.9524093229
FIRVEH_clean 298 10000 0.0043965036
HUQGOR_clean 298 10000 96.8664792957
IPIHUM_clean 298 10000 57.0076418819
LALFUB_clean 298 10000 60.8829353742
NEDVUP_clean 298 10000 84.3025556292
NICZAA_clean 298 10000 51.179542909
QEFWUV_clean 298 10000 130.7377361632
TILPUA_clean 298 10000 73.7496391024
WOBBOG_clean 298 10000 58.0795474001
WOHDON_clean 298 10000 87.9701462782
WUZGEF01_clean 298 10000 90.9185735337
XANZAQ01_clean 298 10000 66.0039770165
YEKXOD_clean 298 10000 81.4257863381
YICREI_clean 298 10000 55.6067417316
YIWPID_clean 298 10000 72.7661137544
ARINOF_clean 298 10000 41.424618411
BEWRUR_clean 298 10000 74.1833902448
CAYMIZ_clean 298 10000 47.9963861208
COKRUR_clean 298 10000 82.2121794722
CUSXIY_clean 298 10000 140.7181766244
EBAVUB_clean 298 10000 42.0336693519
ESASEY_clean 298 10000 29.7717297046
GUJREK01_clean 298 10000 39.6481520261
ja4012707_si_004_clean 298 10000 95.2558193554
NIGPEA_clean 298 10000 102.1974426236
QAHQOH_clean 298 10000 79.152248369
QAMKUN_clean 298 10000 97.181155111
TIDQIG_clean 298 10000 6.5196757609
ULOKOX_clean 298 10000 74.3454913679
UMELEF_clean 298 10000 52.5275309026
UMEPOT_clean 298 10000 52.6067245428
YOYBUL_clean 298 10000 80.97580423
YUJCOX_clean 298 10000 63.0191176127
BEYKEX_clean 298 10000 61.8817553143
COMZIP_clean 298 10000 0.0289599351
DOLPIF_clean 298 10000 40.0121352482
IYOTAT_clean 298 10000 92.7330191509
KASHUK_clean 298 10000 42.0666561643
KIPKAX_clean 298 10000 25.1620943695
KUXSIH01_clean 298 10000 92.5577595061
MIQLII_clean 298 10000 75.0218834372
NADZEZ_clean 298 10000 52.035143508
NAFWAV_clean 298 10000 53.3261995359
PUQDOW_clean 298 10000 30.4955628743
QUXRIM_clean 298 10000 30.4406985741
RATDAS02_clean 298 10000 38.3234916994
ROHWOC_clean 298 10000 48.9551044042
UBACUX_clean 298 10000 62.5336987757
VIZRIH_clean 298 10000 14.8622208099
VUHJAK_clean 298 10000 29.2455657073
WANBOE_clean 298 10000 51.8033081707
YIYRAB_clean 298 10000 63.2531160531
ZEDZAL_clean 298 10000 64.3745658391
AXIPEE03_clean 298 10000 70.0485015557
BOLPEY_clean 298 10000 85.0316667556
BUNKUS_clean 298 10000 82.9749607317
BUVWOF03_clean 298 10000 38.9301379057
CAYCAI_clean 298 10000 33.1299495236
cm503311x_aloh400K_clean 298 10000 68.0047960621
EJIBUW_clean 298 10000 41.0974146522
EMEJOX_clean 298 10000 35.3665124678
FAKLOU_clean 298 10000 86.0745703989
ic400853r_si_002_clean 298 10000 54.550192289
KESBOA_clean 298 10000 68.0017523514
LACYIA_clean 298 10000 107.6324500476
NAQRAA_clean 298 10000 96.5908786057
OBAHUX_clean 298 10000 69.3306771312
OKIKAV_charged 298 10000 64.1858637707
PEPLAY_clean 298 10000 68.1845836868
POTNET_clean 298 10000 58.5681344782
RAYFAA_clean 298 10000 99.0386096752
SATROV_clean 298 10000 77.3098683715
TOFQEM_clean 298 10000 47.5444965664
TUDKAF_clean 298 10000 73.659683075
WOJYOL_clean 298 10000 38.7847158155
YARSAN_clean 298 10000 37.7129958783
acs.inorgchem.6b02160_ic6b02160_si_002_clean 298 10000 61.1608032632
AFEKAX_clean 298 10000 70.6181642325
AQAJEI_clean 298 10000 56.1833189375
ATOWOW_clean 298 10000 95.5138394514
AVIVUW_clean 298 10000 90.4447472767
BAKGIF_manual 298 10000 64.1339953669
BUKSIL_clean 298 10000 102.0103994086
cg500975j_si_002_clean 298 10000 49.6437258
ENITOL_clean 298 10000 72.6972168553
FODYUT_clean 298 10000 3.4903032326
GOSBOH_clean 298 10000 86.9992633097
HOFJIX_clean 298 10000 71.7821642801
HUQGUX_clean 298 10000 97.4445653656
ic402692p_si_002_clean 298 10000 93.7793743883
LAPPIE_clean 298 10000 97.6481202609
OQUFAJ01_clean 298 10000 103.1986045618
PUMNIV_clean 298 10000 64.0418065269
TONXIE_clean 298 10000 103.9853523761
TOVKAS_clean 298 10000 77.892888252
VOKCOP_clean 298 10000 35.2938486532
XOVQAB_clean 298 10000 110.2736942195
YEKQOW_clean 298 10000 73.8108250139
YUYLIP_clean 298 10000 44.2222498186
