ID	Temp	Pres	Molec_cm3overcm3
1375	298	1.00E+06	205.7584613
1930	298	1.00E+06	226.9547514
8710	298	1.00E+06	
12646	298	1.00E+06	168.2505193
2397	298	1.00E+06	92.91118793
8739	298	1.00E+06	
13473	298	1.00E+06	205.6330183
6179	298	1.00E+06	227.3510274
7406	298	1.00E+06	213.4341537
4603	298	1.00E+06	
8006	298	1.00E+06	210.6777848
8359	298	1.00E+06	207.0440828
11545	298	1.00E+06	211.7436125
11872	298	1.00E+06	148.0678466
4547	298	1.00E+06	227.0831835
10041	298	1.00E+06	116.7624806
5597	298	1.00E+06	224.8734138
7178	298	1.00E+06	219.5546058
11342	298	1.00E+06	221.9827224
7114	298	1.00E+06	172.6110674
8139	298	1.00E+06	213.2602909
13359	298	1.00E+06	208.3251066
2358	298	1.00E+06	83.24968588
9145	298	1.00E+06	215.5696913
4164	298	1.00E+06	163.3808159
7371	298	1.00E+06	222.1904378
8153	298	1.00E+06	118.4625454
12632	298	1.00E+06	209.7657441
277	298	1.00E+06	114.9382442
9861	298	1.00E+06	220.4623775
2000	298	1.00E+06	223.4420895
9687	298	1.00E+06	219.7303781
9820	298	1.00E+06	219.3719819
10339	298	1.00E+06	
11643	298	1.00E+06	185.8472168
1413	298	1.00E+06	177.9225685
12958	298	1.00E+06	212.5270942
3795	298	1.00E+06	
6861	298	1.00E+06	216.5909444
2874	298	1.00E+06	211.1333935
3612	298	1.00E+06	
705	298	1.00E+06	223.6749172
4394	298	1.00E+06	226.0655348
5219	298	1.00E+06	221.4530432
7451	298	1.00E+06	222.170398
11639	298	1.00E+06	186.6476194
8	298	1.00E+06	207.5879249
8493	298	1.00E+06	218.4628948
6009	298	1.00E+06	219.6946712
7155	298	1.00E+06	0
8472	298	1.00E+06	81.59754926
4852	298	1.00E+06	210.8604993
8646	298	1.00E+06	
9559	298	1.00E+06	183.3628991
10243	298	1.00E+06	201.0156908
13450	298	1.00E+06	215.5335764
5927	298	1.00E+06	201.8267993
13048	298	1.00E+06	211.8799463
5116	298	1.00E+06	215.7646496
7671	298	1.00E+06	220.1020211
1018	298	1.00E+06	214.7643409
3172	298	1.00E+06	215.2146075
6074	298	1.00E+06	204.760894
11373	298	1.00E+06	219.7231852
3356	298	1.00E+06	105.1320859
3408	298	1.00E+06	
1999	298	1.00E+06	220.8719343
816	298	1.00E+06	200.0639349
984	298	1.00E+06	218.9661753
4001	298	1.00E+06	215.9696766
7373	298	1.00E+06	220.7583967
7639	298	1.00E+06	208.4387813
3741	298	1.00E+06	210.9580948
5445	298	1.00E+06	219.9314173
8171	298	1.00E+06	216.8594199
11111	298	1.00E+06	193.0922213
3248	298	1.00E+06	141.0295825
7956	298	1.00E+06	213.974882
11369	298	1.00E+06	224.700735
12168	298	1.00E+06	210.8642533
2360	298	1.00E+06	129.69462
13200	298	1.00E+06	139.6989063
48	298	1.00E+06	127.1300812
5582	298	1.00E+06	202.6877437
1837	298	1.00E+06	223.7478493
3851	298	1.00E+06	209.7691681
8143	298	1.00E+06	204.860893
11132	298	1.00E+06	222.8470621
3660	298	1.00E+06	222.1929698
9208	298	1.00E+06	187.9003577
3174	298	1.00E+06	215.0441016
5206	298	1.00E+06	219.918785
709	298	1.00E+06	224.1035405
6982	298	1.00E+06	226.6502875
7522	298	1.00E+06	220.4575946
9214	298	1.00E+06	214.8724425
732	298	1.00E+06	155.5070304
750	298	1.00E+06	225.4332882
9875	298	1.00E+06	222.5683223
5848	298	1.00E+06	197.3243735
8202	298	1.00E+06	216.9913375
8641	298	1.00E+06	
1796	298	1.00E+06	223.367697
3085	298	1.00E+06	215.158394
949	298	1.00E+06	171.4889206
12891	298	1.00E+06	215.2115311
3492	298	1.00E+06	157.2270225
5127	298	1.00E+06	212.4756577
2958	298	1.00E+06	151.6790431
313	298	1.00E+06	198.6659062
7358	298	1.00E+06	208.1693994
12753	298	1.00E+06	215.0858062
2956	298	1.00E+06	163.3399935
7748	298	1.00E+06	225.8129565
3951	298	1.00E+06	
9020	298	1.00E+06	150.9571375
9698	298	1.00E+06	130.2590112
