%IncMSE,IncNodePurity,varnames,midpoints
18.069681236056976,342659.18875581655,"-Inf to
-8.7",-Inf
2.5005892373896823,3416.4605810408993,"-4.9 to
-4.7",-4.8
6.697685529688773,1925.051181267742,"-4.7 to
-4.5",-4.6
5.16363646827963,2027.199153389675,"-4.5 to
-4.3",-4.4
3.5925049874590944,2455.6556626315073,"-4.3 to
-4.1",-4.2
4.134228251179619,3038.5397346014315,"-4.1 to
-3.9",-4
2.093944665078218,1837.228003303606,"-3.9 to
-3.7",-3.8
2.5161637312615284,1483.0572888596437,"-3.7 to
-3.5",-3.6
4.298570437837927,2592.408498558488,"-3.5 to
-3.3",-3.4
3.1539211533775635,2577.1612807037,"-3.3 to
-3.1",-3.2
2.594577210986759,1894.6316674991547,"-3.1 to
-2.9",-3
21.98957220396774,500421.80722538376,"-8.7 to
-7.6",-8.15
3.5612581536989154,1510.5637697950506,"-2.9 to
-2.8",-2.85
4.354250206041752,2346.409549189383,"-2.8 to
-2.7",-2.75
2.9996310123149894,1639.307890835626,"-2.7 to
-2.6",-2.65
4.164365749176744,1744.036622938036,"-2.6 to
-2.5",-2.55
2.195310431019928,2043.4043656352742,"-2.5 to
-2.4",-2.45
3.5372180923249874,1819.4907282937909,"-2.4 to
-2.3",-2.35
5.501544785456342,2842.9403354256215,"-2.3 to
-2.2",-2.25
3.7151780421454097,2119.458462382839,"-2.2 to
-2.1",-2.15
4.999888983475432,1399.0366766760762,"-2.1 to
-2",-2.05
4.2452502409703765,2327.1264635741613,"-2 to
-1.9",-1.95
13.504276758710132,156576.10857812173,"-7.6 to
-6.9",-7.25
5.395069640174891,2910.4289730348587,"-1.9 to
-1.8",-1.85
3.0909653158134485,2094.7048027764004,"-1.8 to
-1.7",-1.75
2.7621717201165237,3997.8985114158245,"-1.7 to
-1.6",-1.65
6.665011845846036,6265.985858439251,"-1.6 to
-1.5",-1.55
5.279086486721162,4526.8137698889495,"-1.5 to
-1.4",-1.45
4.936764431733623,6071.980411587762,"-1.4 to
-1.3",-1.35
3.7296836184776176,4144.834676759819,"-1.3 to
-1.2",-1.25
5.804938782373185,9955.737855699192,"-1.2 to
-1.1",-1.15
7.829748690039785,14039.381834570579,"-1.1 to
-1",-1.05
6.621480342889048,11055.874854511312,"-1 to
-0.9",-0.95
15.325998123968,56023.26312223961,"-6.9 to
-6.4",-6.65
5.709788666865468,7904.338068963406,"-0.9 to
-0.8",-0.85
8.05248646090236,27430.376255946077,"-0.8 to
-0.7",-0.75
4.672418007955126,21046.395759661274,"-0.7 to
-0.6",-0.65
6.296712832833303,78653.23459470211,"-0.6 to
-0.5",-0.55
6.393848254379287,117260.93537751384,"-0.5 to
-0.4",-0.45
6.694677687321616,67283.22028818907,"-0.4 to
-0.3",-0.35
6.389834728911188,68082.2188065366,"-0.3 to
-0.2",-0.25
7.496864367403906,18551.17291833744,"-0.2 to
-0.1",-0.15
5.4095945000896375,2699.5983897630267,"-0.1 to
0",-0.05
11.633402693690451,31496.020920391704,"-6.4 to
-6",-6.2
12.279844851756852,18392.99490815922,"-6 to
-5.7",-5.85
10.186493720669187,11451.291069667936,"-5.7 to
-5.4",-5.55
7.700711020138323,6690.595157629694,"-5.4 to
-5.1",-5.25
7.32745498382002,4197.352275888044,"-5.1 to
-4.9",-5
15.149871155688036,474839.0754140336,Inf,2
8.664757460483505,8689.27934493082,VSA,VSA
12.477409755971701,15510.684051399774,GSA,GSA
6.732336494275385,6522.244752975528,PLD,PLD
4.516340505776704,2678.9370951511182,LCD,LCD
9.521397381417481,8561.066943368136,Min,Min
10.572032705787208,13624.343216818994,Median,Median
18.135801563922747,510629.147709724,Q1,Q1
