"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","Min","Median","Q1","predicted"
"1","10011",0.93,14.8,28.3,7378,1238,223.1231098,-1180.62,-52.1285,-231.6075,223.262213950193
"2","10038",0.9,10.7,22.8,6475,1586,219.1781845,-1251.66,-92.1152,-321.955,219.708050483486
"3","10047",0.91,11.4,23.3,5873,1454,220.7070212,-1445.35,-83.34665,-311.56275,220.549320747367
"4","10060",0.95,18.2,35.2,8266,949,220.3279071,-1054,-23.84135,-132.4795,220.597686982813
"5","1007",0.92,31.9,34.8,5766,1352,216.8592579,-1588.12,-50.87145,-268.8595,217.118575967013
"6","10075",0.92,13.6,24.9,6372,1319,222.3326601,-1411.66,-67.9229,-263.768,222.27613789762
"7","10091",0.98,31.9,53.3,8131,529,88.62306509,-1262.32,-1.509805,-40.8352,81.6640223341324
"8","10100",0.92,16.2,28.2,6081,1238,218.4167529,-1517.65,-42.2392,-212.5115,219.381189606733
"9","10158",0.91,29.2,34.1,2982,788,199.7034684,-1883.51,-7.649955,-77.383875,188.352729959872
"10","10161",0.92,32.4,38.7,3480,723,108.8395997,-2256.47,-4.49501,-58.9272,124.506553525989
"11","10172",0.94,36.5,43.3,4390,669,77.50044808,-1702.62,-1.27857,-41.16735,86.4129941271883
"12","10203",0.91,27.2,33.4,3548,878,202.5148133,-1774.86,-10.30845,-88.9297,201.43898093672
"13","10210",0.95,36,42.8,4161,669,97.35363934,-2169.45,-1.424115,-47.873575,95.9436603449018
"14","10212",0.95,42.4,47.2,4209,592,88.01061719,-2239.86,-0.06478675,-35.44595,85.8495312602753
"15","10250",0.92,28.9,33.9,3513,839,203.3419849,-1859.63,-9.18774,-84.4518,198.160189835433
"16","10264",0.96,40,43.9,5173,628,69.54206288,-1256.14,-0.848777,-36.738575,77.987359600836
"17","1027",0.94,41.7,44.1,7430,1148,179.4266263,-1681.44,-26.9248,-177.027,181.597369622634
"18","10289",0.88,23.5,28.2,2652,939,201.6442508,-1963.61,-17.7363,-118.74475,201.892485988093
"19","10291",0.87,24,28.4,2715,884,200.8966721,-2466.79,-15.0435,-117.815,201.51242340493
"20","10312",0.97,44,48.5,5459,557,67.07389214,-1289.46,0,-27.7261,75.8462961032167
"21","1040",0.96,50.5,54.8,7642,837,155.6169636,-1869.92,-13.2129,-98.2438,157.22532327656
"22","1058",0.9,35.8,36.9,4140,1247,207.0981051,-1556.25,-19.0943,-243.921,207.560680175133
"23","1062",0.9,38.1,39.6,3853,1181,205.8086748,-2090.33,-13.1409,-250.372,203.787448402837
"24","1065",0.91,40.5,41.7,4276,1133,198.3564801,-1543.55,-14.778,-206.413,199.82514289722
"25","108",0.62,5.5,8,1008,798,144.049213,-2661.23,45481.5,661.839,131.889776741273
"26","1082",0.93,46,47.2,5153,1031,157.7271454,-1609.55,-11.0718,-150.061,159.136144733587
"27","10929",0.92,23.5,25,5666,1336,220.9183512,-1503.16,-59.3287,-254.24125,220.094444309944
"28","10930",0.93,25.5,26.6,5706,1282,220.471582,-1506.23,-51.9163,-240.167,220.07158724396
"29","10940",0.91,20.7,21.9,5408,1399,219.3338783,-1480.52,-67.1195,-282.034,218.797275424694
"30","10956",0.95,29.9,31.8,6965,957,219.8757308,-1316.1,-22.0727,-137.294,218.88368152435
"31","10972",0.96,38.8,42.4,7380,698,133.3256037,-1551.66,-6.171635,-69.889125,137.359083852478
"32","1098",0.91,42.7,44,5662,1110,155.6466096,-1591.68,-10.47945,-170.085,162.468870638906
"33","10991",0.92,29.2,30.9,5053,1212,218.2369144,-1723.67,-45.0782,-225.111,217.232023032253
"34","11001",0.73,28.7,29.2,1853,968,170.1157194,-2129.02,-6.53742,-178.6465,169.330566727897
"35","1101",0.83,20.7,21.9,2769,1466,198.7339936,-2065.74,-38.8607,-451.82025,198.044856957774
"36","11016",0.93,27.2,29.5,5163,1187,218.4205938,-1531.09,-38.5363,-205.699,217.329329382507
"37","11017",0.93,25.7,29.3,6312,1157,220.1040871,-1464.57,-36.4423,-184.627,219.929883836063
"38","11019",0.94,29.3,31,6064,1074,219.9297146,-1327.76,-31.7606,-181.3755,219.118577722134
"39","11022",0.95,32.7,35,5968,982,218.7794432,-1485.85,-23.1159,-155.399,217.705677455136
"40","11023",0.95,33.3,35.2,6453,982,216.9141758,-1502.8,-20.8096,-141.093,216.58696667283
"41","11039",0.96,38.1,40.4,7168,794,167.0764619,-1495.15,-10.5537,-92.580325,173.732960061353
"42","1105",0.88,27.5,29.2,4252,1479,210.489707,-1859.47,-46.15865,-380.5385,210.681393846087
"43","11059",0.95,35.5,39.4,7081,783,152.3481724,-1319.37,-8.696145,-79.930825,165.671322903157
"44","11065",0.94,27.5,30.9,6200,1000,215.1768637,-1130.72,-21.56485,-132.25625,215.588986192207
"45","11066",0.82,16.3,17.4,3307,1523,197.9514033,-1631.05,-87.8101,-338.8885,198.30168783876
"46","11071",0.86,11.9,20.6,3860,1718,200.3078114,-1195.03,-119.554,-304.46275,203.40065309128
"47","11079",0.92,16.8,26.8,5888,1429,220.7544849,-1297.94,-58.4983,-224.47475,220.319402574613
"48","11089",0.79,8.5,15,3151,1973,190.1788735,-1855.86,-196.151,-440.664,191.133070039907
"49","1109",0.92,32.6,34.8,5443,1357,217.3776166,-1604.66,-51.39675,-288.44375,216.890298706433
"50","11097",0.95,20.4,34.3,6740,1027,216.6199898,-1165.37,-24.9516,-128.0905,217.57310677731
"51","11104",0.96,26.1,41.5,6991,810,213.9443825,-1342.65,-11.9497,-89.7197,208.470930203283
"52","11111",0.81,10.2,15.5,3460,1979,193.0922213,-1559.12,-148.791,-386.35,194.35415610304
"53","11119",0.88,14.3,15.6,4627,1861,208.3015069,-1737.21,-121.665,-364.315,209.943180911587
"54","11140",0.95,21.4,34.9,7745,1108,222.303969,-1268.98,-27.7535,-144.951,221.709515355644
"55","11155",0.96,30,43.7,8529,695,178.7912917,-1317.29,-7.176505,-62.886,163.355355157069
"56","11160",0.85,12.6,22.2,4197,1568,213.8176275,-1910.6,-150.7445,-378.1975,211.33496179706
"57","11162",0.86,10.7,18.3,4291,1693,207.057214,-2049.37,-144.055,-356.922,207.945507331523
"58","11163",0.77,6.7,9.4,2062,1846,177.9521267,-2042.38,206.188,-829.966,176.463524079923
"59","11184",0.95,21.4,30.5,7177,1020,222.7914676,-1312.46,-24.4939,-135.6855,221.73261178524
"60","1119",0.93,37.4,40.2,5658,1191,211.6652356,-1911.42,-30.7143,-226.623,211.866656784489
"61","11202",0.96,27.9,40.7,6415,724,206.1624088,-1053.2,-9.733,-72.246325,195.031041541313
"62","11208",0.87,12.3,20.1,4070,1508,217.7230278,-1884.24,-117.889,-345.4105,213.765410009774
"63","11233",0.85,10,17.4,3879,1746,205.9867113,-1705.49,-192.967,-445.258,206.052751020133
