"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","predicted"
"316","2261",0.87,11.8,15.7,5909,1699,218.4558675,215.675454286281
"317","2266",0.92,13.9,17,7371,1490,223.8221093,224.198271151623
"318","2286",0.95,20.2,25.6,8417,1030,221.9344288,223.167810247368
"319","2308",0.84,8.1,9.9,4847,2129,208.8716616,200.393083948614
"320","2312",0.92,15.5,18.5,6366,1352,223.3298335,222.470872343401
"321","232",0.49,3.7,6.9,473,654,118.6886524,94.8737093538677
"322","2328",0.96,20.5,25.6,7702,977,226.2990598,221.591101907924
"323","2343",0.97,25.3,30.6,8802,759,219.7696911,211.292485304123
"324","2344",0.97,26.2,30.6,7798,706,214.9643496,208.496289411818
"325","2356",0.43,3.1,6.5,310,444,62.86944197,89.3332094020333
"326","2360",0.61,4.7,8.3,1101,1277,129.69462,136.949495613521
"327","2368",0.71,5.9,9,1929,1704,168.9610767,166.181502957818
"328","2377",0.44,3.1,6.6,241,414,85.76047097,74.5737958316914
"329","2381",0.76,5.7,13.5,2655,1807,182.4919057,182.21066759987
"330","2384",0.79,6.8,12.7,2825,1883,181.4932936,189.176211203862
"331","2393",0.82,9,17,3670,1864,203.075108,200.249682205209
"332","2397",0.45,3.4,5.7,289,449,92.91118793,85.5258577131154
"333","2405",0.79,7.5,16.7,3504,1708,193.4408832,193.16956182294
"334","2413",0.9,11,22.4,5982,1642,220.0539336,218.645977037857
"335","2418",0.91,13.3,24.2,5418,1439,220.0963536,219.501701093586
"336","2419",0.91,12.7,24.8,5814,1429,220.1124935,220.038198881304
"337","242",0.82,7.6,12.5,4209,2290,198.5707257,196.851567847157
"338","2428",0.9,12.1,26.2,6633,1449,221.3722686,220.166969411901
"339","2441",0.94,17,33.4,6403,1049,220.897699,220.458732293011
"340","2455",0.88,10.2,22,4853,1637,212.9314011,212.741007360912
"341","2468",0.93,14.1,30.1,6158,1224,221.7732138,222.005051241548
"342","247",0.8,7.9,13.2,3567,1970,196.1438605,194.61324946671
"343","2470",0.93,13.1,29.2,6983,1182,220.0445263,221.107087541598
"344","2479",0.94,15.1,32,6928,1131,218.2360013,222.740119322384
"345","2488",0.95,18.7,36.7,7049,959,221.3053097,220.045098957572
"346","2509",0.89,11.2,24.6,5043,1510,216.9970365,215.901759627504
"347","2522",0.9,13.4,29.3,5286,1228,217.7790273,216.032565719037
"348","2538",0.93,18.3,34.1,5296,1016,214.649683,216.926358418001
"349","2550",0.69,4.5,10.6,1770,1446,161.9060953,159.251408383986
"350","2552",0.84,6.7,15.1,4044,2051,205.0195562,200.9396854421
"351","2589",0.49,2.8,7.4,508,738,82.87467699,104.584017622906
"352","259",0.39,6.2,7.6,723,778,81.32285409,105.261492410371
"353","2605",0.91,10.9,23.5,6336,1558,217.8883738,220.333668040253
"354","2617",0.79,5.6,12.4,2881,1949,191.2704582,187.415790429751
"355","2620",0.92,13.4,27.9,5833,1315,217.4941258,219.754699129142
"356","2628",0.71,3.6,13.9,2106,1436,164.2101291,163.096513948397
"357","2634",0.63,3.9,9.8,1266,1251,150.9841679,145.816713516512
"358","264",0.33,3.9,6.6,242,303,57.21869315,79.4525848970928
"359","2641",0.8,7,15.4,3238,1813,193.2469061,193.011979919909
"360","2675",0.56,3.2,10.6,858,858,119.1491577,119.12486442182
"361","2680",0.83,6.4,14.3,3778,2055,201.5947075,195.652127528476
"362","2694",0.86,8.4,18.4,5279,1849,211.0160274,209.626460311807
"363","2695",0.51,2.7,7.4,665,832,116.4544108,98.3926827753707
