%IncMSE,IncNodePurity,varnames,midpoints
22.003638672588448,484764.7987460201,"-Inf to
-10.7",-Inf
2.551169891411391,2494.668651236066,"-6 to
-5.7",-5.85
3.1547636284791336,2807.4581812752062,"-5.7 to
-5.4",-5.55
3.7710924471298686,3120.7885043387582,"-5.4 to
-5.2",-5.3
2.9276315520330076,1253.8474817333356,"-5.2 to
-5",-5.1
4.0307995669577465,3446.1767427614086,"-5 to
-4.8",-4.9
3.017770884367585,4064.8300980479953,"-4.8 to
-4.6",-4.7
3.9480215637683087,4763.630083314443,"-4.6 to
-4.4",-4.5
3.132451390516691,3842.887755898896,"-4.4 to
-4.2",-4.3
4.683062186792615,6799.108150854224,"-4.2 to
-4",-4.1
5.113504853980447,5066.918027829929,"-4 to
-3.8",-3.9
17.20212833658536,121614.72268335478,"-10.7 to
-9.3",-10
4.179519906275528,7622.585923859591,"-3.8 to
-3.6",-3.7
1.699746325470917,2062.4040489700765,"-3.6 to
-3.4",-3.5
4.351180959035329,4511.821759573679,"-3.4 to
-3.2",-3.3
4.078849555907681,3997.8404541244186,"-3.2 to
-3",-3.1
4.355609484031774,6636.387625868595,"-3 to
-2.8",-2.9
5.224295971948206,7201.145016026765,"-2.8 to
-2.6",-2.7
4.186933837379942,3815.691159139066,"-2.6 to
-2.5",-2.55
3.620553581172271,5024.926098527759,"-2.5 to
-2.4",-2.45
3.5648432917068797,3586.9997070362433,"-2.4 to
-2.3",-2.35
3.6275210814778616,3830.814407587814,"-2.3 to
-2.2",-2.25
16.60503378434052,67030.82392774627,"-9.3 to
-8.5",-8.9
2.4473680593737392,2489.14917394061,"-2.2 to
-2.1",-2.15
2.323048901110989,2120.3673675874393,"-2.1 to
-2",-2.05
3.5040218157803587,3596.2063589087297,"-2 to
-1.9",-1.95
2.948310455036438,3651.6176177352586,"-1.9 to
-1.8",-1.85
4.972042648841212,9631.197911191195,"-1.8 to
-1.7",-1.75
3.9240249195903885,8321.70317133553,"-1.7 to
-1.6",-1.65
5.139055280996151,8269.540013068117,"-1.6 to
-1.5",-1.55
2.6968273461474,11030.80844530699,"-1.5 to
-1.4",-1.45
4.1913772701196335,9185.992008669618,"-1.4 to
-1.3",-1.35
4.036214909470264,17964.109490079554,"-1.3 to
-1.2",-1.25
14.350441111248784,67686.8262341617,"-8.5 to
-7.9",-8.2
4.361620829791001,30318.548245032616,"-1.2 to
-1.1",-1.15
5.892354780182039,67899.35663515248,"-1.1 to
-1",-1.05
5.140455425600165,54831.602527838964,"-1 to
-0.9",-0.95
5.177070051293546,54775.403498067506,"-0.9 to
-0.8",-0.85
5.579528578931849,61582.693175351305,"-0.8 to
-0.7",-0.75
4.49921139584626,42980.79302544149,"-0.7 to
-0.6",-0.65
6.254981045240748,75784.11284419573,"-0.6 to
-0.5",-0.55
3.1119496631180312,8633.24739773588,"-0.5 to
-0.4",-0.45
2.9457501980191165,9324.985730340564,"-0.4 to
-0.3",-0.35
4.0968260242953365,7154.618505632402,"-0.3 to
-0.2",-0.25
10.930407745622597,35468.00709756353,"-7.9 to
-7.4",-7.65
4.000943001896244,5321.2418881816675,"-0.2 to
-0.1",-0.15
2.5605760736729968,1923.046670282057,"-0.1 to
0",-0.05
7.639696807207961,11362.454695694138,"-7.4 to
-7",-7.2
6.112325371324971,6794.337087963907,"-7 to
-6.6",-6.8
5.3553348131218605,3949.4082523936495,"-6.6 to
-6.3",-6.45
5.059765669311886,3931.441885410491,"-6.3 to
-6",-6.15
13.83718175659793,331235.995646949,Inf,2
3.183255779322554,3445.0611642681583,VSA,VSA
6.447055368050079,8704.259635598948,GSA,GSA
4.057268631292003,19174.062918558706,PLD,PLD
0.07857110580746295,2059.3114762219766,LCD,LCD
7.806979433461226,8542.594028551643,Min,Min
8.90383352788407,12056.080921791476,Median,Median
18.09292970485208,55629.83067993919,Q1,Q1
