"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","Min","Median","Q1","predicted"
"1","10",0.85,11.4,14.1,4856,2110,73.6722109484,-1643.93,-169.239,-430.804,77.5661893580847
"2","10009",0.92,13.9,26.6,5850,1299,40.2245885681,-1192.54,-61.7699,-257.717,40.0516337936151
"3","10013",0.94,17,32.7,6918,1092,41.0770456592,-1591.97,-35.4448,-190.43725,38.4406650366686
"4","10039",0.96,24.7,44.5,8035,710,23.0168396819,-1302.09,-8.17461,-74.183025,22.4618103843275
"5","10047",0.91,11.4,23.3,5873,1454,57.4552986038,-1445.35,-83.34665,-311.56275,55.8935371476827
"6","10052",0.89,13.1,24.2,5387,1435,61.2790700975,-1668.78,-69.2997,-279.4195,57.8883967522423
"7","10057",0.94,17,31.6,6321,1081,32.2037015549,-1170.46,-36.2581,-177.922,31.6610351458679
"8","10071",0.96,22.9,39.6,7016,748,21.3063648403,-1187.58,-10.9352,-91.7468,22.3018845479509
"9","10081",0.97,26.4,45.1,8595,668,18.0384693725,-1024.22,-6.4122,-62.5732,18.7218350908849
"10","10086",0.92,13.5,27,7064,1312,39.1983091376,-1292.02,-54.6345,-229.717,38.4228202854416
"11","1011",0.83,21.5,22.2,3169,1534,90.9804418884,-1711.92,-42.3784,-388.111,90.7906665593254
"12","10167",0.94,36.6,40.8,3842,689,21.7270737444,-1652.03,-1.92533,-45.0481,25.2917756297396
"13","10169",0.93,34.4,41.7,3517,631,31.6460885106,-2247.33,-1.49971,-46.459,33.5395653149005
"14","10172",0.94,36.5,43.3,4390,669,21.6792950171,-1702.62,-1.27857,-41.16735,23.7292309154973
"15","10202",0.91,28.7,33.4,3478,850,32.146627691,-1774.95,-9.428525,-84.593975,34.9670964698642
"16","1021",0.94,40.8,43.1,6552,1111,39.2672828632,-1864.6,-25.5262,-190.099,38.7245639918691
"17","10223",0.96,42,47.4,5148,600,22.2486608663,-1948.01,-0.129777,-28.02255,22.8180974614552
"18","10224",0.96,43.3,48.6,5531,585,19.6429660005,-1638.61,-0.0642166,-26.9919,21.59359184302
"19","10266",0.96,42.5,48.9,4804,562,24.2377764412,-2002.06,-0.0641275,-28.0315,24.373254768498
"20","10274",0.97,48.1,55.2,4621,495,27.0035580947,-2259.52,0,-20.2367,26.0676969082884
"21","10290",0.88,26.6,30.9,2659,820,37.9375350925,-2071.35,-11.75065,-96.218525,43.7152293645962
"22","10292",0.88,24.6,28.8,2657,868,41.4292603666,-2321.47,-13.725,-109.88975,46.4326380511529
"23","10297",0.93,32.9,37.2,3452,761,31.9429518202,-1800.45,-5.38131,-66.092,33.3576967059382
"24","10306",0.96,40.9,48.2,4548,587,27.966828899,-1958.93,-0.1384105,-33.8314,25.6275595449947
"25","10314",0.96,47.4,54.3,5020,489,22.898641515,-1984.87,0,-18.35815,23.5133105350263
"26","10330",0.976914,58.33743,65.37503,5908.628831,390.803511,18.5495776864,-1954.87,0,-8.84563,19.0831175405359
"27","10337",0.91,27,32.7,2999,821,37.4080739249,-2007.63,-10.2946,-89.6694,37.6134735787133
"28","10343",0.92,32.4,37.3,3289,726,35.0380597586,-1561.21,-4.35001,-66.188125,34.6077636469689
"29","10355",0.96,47,54.4,4351,506,27.9490727895,-2762.45,0,-23.074025,28.2062170495653
"30","1037",0.95,45.9,49.3,7062,951,32.7884173346,-1755.85,-20.0929,-137.3305,31.2870068573784
"31","10373",0.973581,54.47894,61.21891,5646.069963,432.125023,19.341546991,-1955,0,-12.9938,19.5549119940716
"32","10378",0.97782,59.54014,66.54469,5951.443142,379.963569,17.8709599011,-2020.76,0,-8.866565,19.4343388738649
"33","1042",0.88,29.2,30.5,3766,1353,83.7736450485,-1880.21,-35.55355,-351.457,82.9628710749883
"34","1044",0.89,29.2,30.5,3823,1394,73.9631160936,-1774.53,-39.6439,-342.7545,76.5915649960198
"35","1055",0.89,33.5,35,3932,1321,47.4612058215,-1267.24,-24.3338,-253.8005,47.7129532366316
"36","1066",0.91,39.5,40.9,3952,1134,41.2783853151,-1485.24,-14.1886,-179.7125,42.7027860466455
"37","1067",0.93,41,41.8,5140,1143,29.2481161666,-988.729,-20.0329,-180.201,31.9073075731883
"38","1073",0.92,42.8,44.2,5401,1199,42.2902435849,-1496.46,-14.42815,-186.52725,42.7367912546797
"39","1091",0.83,29.5,29.8,2250,1208,96.1037622567,-1883.47,-21.0394,-307.896,92.1719820972597
"40","1092",0.83,29.2,30.6,2258,1186,80.8131715265,-1908.07,-20.4323,-291.131,80.8862388669744
"41","10934",0.89,21,22.4,4354,1513,70.5864077808,-1985.99,-86.41985,-329.16025,68.6635605456845
"42","10945",0.94,25.2,27.1,6210,1160,38.849292621,-1395.04,-39.76,-197.658,39.7418251410896
"43","10960",0.95,30.2,32.3,7011,972,29.6922851206,-1328.22,-21.2499,-132.2915,29.3445021745038
"44","10978",0.87,20.1,22.1,4278,1741,95.3132205673,-1676.26,-71.21265,-411.802,88.3772130508291
"45","1099",0.92,37.6,39.4,5965,1264,52.136906173,-1443.95,-37.82795,-257.3145,51.0705481638682
"46","10995",0.74,28.7,29.4,2145,1041,73.6072045194,-1934.17,-7.584665,-193.47525,72.6765361111768
"47","10999",0.94,38.2,39.6,6879,1076,29.2510058533,-1262.23,-20.1985,-145.36,29.7709829267877
"48","11000",0.9,18.2,19.5,4681,1473,63.3452766848,-1601.1,-82.1347,-304.3325,58.2650350211342
"49","11001",0.73,28.7,29.2,1853,968,71.9749188219,-2129.02,-6.53742,-178.6465,72.3168244758333
"50","11002",0.92,27.6,29.2,5253,1145,45.4915983434,-1791.16,-37.383,-198.147,45.0182589872024
"51","11008",0.86,19.6,21.6,4078,1390,72.1919743016,-1817.37,-75.0772,-317.183,73.8839516093058
"52","11018",0.83,12,13.3,3504,1784,93.8724797702,-1527.85,-167.958,-446.962,88.8090051587651
"53","11033",0.95,31.1,34.8,7039,955,29.2322182446,-1405.52,-19.4352,-125.347,28.8797356693245
"54","11034",0.96,31.1,35.9,7439,904,25.8585771084,-1377.58,-17.868,-115.00125,26.228132903907
"55","11038",0.96,34.3,36.8,7201,838,25.196143236,-1185.94,-14.40315,-104.48675,24.8051314907199
"56","11049",0.88,17.1,18.3,4317,1565,71.957916741,-1601.79,-95.40705,-341.54475,68.3279719088825
"57","11056",0.92,25.5,28,6431,1167,33.2198370349,-1331.6,-33.0227,-179.8455,33.7719939835034
"58","11067",0.59,4.9,10.2,1180,1549,98.1315942736,-1359.77,4969.29,-622.817,119.785607580028
"59","1107",0.9,29.3,31,4896,1457,71.2920631955,-1692.66,-43.08085,-340.07025,72.1900510255783
"60","11071",0.86,11.9,20.6,3860,1718,36.0170205152,-1195.03,-119.554,-304.46275,41.7806507973209
"61","11093",0.94,20.8,33.5,6675,1172,27.1210293143,-1187.56,-30.2246,-151.0805,27.9444233978722
"62","11094",0.95,21.2,33.8,6991,1094,23.2285652867,-1028.36,-27.3747,-137.148,24.2030489043927
"63","11098",0.95,21.2,33.1,6740,1046,23.2757560461,-1143.67,-27.2348,-132.81325,24.1179632827703
"64","11111",0.81,10.2,15.5,3460,1979,54.3884354278,-1559.12,-148.791,-386.35,62.7444369818758
"65","11116",0.86,12.3,16.3,4371,1587,73.8831885814,-2220.58,-122.334,-347.837,75.8565809838633
"66","11137",0.83,13.1,14.4,3995,1814,77.0915226504,-1730.48,-169.11,-435.79,81.9212438620768
"67","11159",0.88,11.1,20.9,4524,1744,63.0339728667,-1490.63,-162.855,-373.20375,64.6008014806823
"68","1116",0.93,36.4,38.3,5112,1234,70.4603920641,-1993.8,-31.8481,-264.864,63.1000115040347
"69","11180",0.94,19.2,28.7,6396,1093,35.0538514936,-1339.21,-32.00725,-164.403,34.2147394950091
"70","11201",0.96,27.4,40.4,7094,745,23.6550422407,-1277.22,-10.0718,-80.470125,23.6826088446549
"71","11252",0.97,31.2,47.1,8080,673,20.9372409988,-1203.57,-6.61875,-60.11275,20.7176661278688
"72","11256",0.86,13.8,21.6,4027,1501,76.7932981533,-1754.16,-128.1525,-356.46625,75.5659280592437
"73","11268",0.93,15.1,27.2,5999,1248,35.7044495332,-1361.89,-48.3225,-193.64825,36.4067239139893
"74","11304",0.87,13.4,24.4,4864,1444,50.7435736798,-1579.94,-96.4095,-296.015,51.8998133147427
"75","11322",0.92,13.5,25,5649,1381,54.8246925853,-1575.25,-71.5887,-252.9165,50.0658259518443
"76","11339",0.94,17.8,33.7,7114,1044,32.2555561565,-1394.14,-27.1396,-145.588,31.5353613433645
"77","11346",0.96,21,38.9,6191,821,19.9250831411,-976.847,-13.87995,-87.4851,20.6590180399181
"78","11349",0.79,7.5,13.9,3510,1968,100.1154089833,-1776.68,-186.144,-502.87775,102.182215066514
"79","1136",0.94,44.6,47.5,6415,1021,35.2425374535,-1863.38,-18.7855,-155.026,34.5252547550669
"80","11366",0.77,12.7,14.8,2727,1723,96.7803067177,-1701.51,531.456,-530.4215,110.222396279235
"81","11375",0.95,19.9,31.2,6609,1132,41.6004800446,-1509.28,-36.9483,-185.22,38.9763975106311
"82","11379",0.92,19.4,26.7,5995,1331,51.2025507307,-1417.37,-72.1046,-251.914,49.2630009954177
"83","11384",0.95,21.8,31,6678,1099,40.3189479956,-1492.1,-41.2411,-171.42325,37.8110481293291
"84","11390",0.95,24.1,33.9,7843,1056,29.1503333113,-1359.5,-33.4239,-145.79075,29.3368544831256
"85","11396",0.95,27.6,40.5,8735,849,22.0748594943,-1030.98,-17.4636,-94.57135,22.3081278761046
"86","114",0.66,4.4,7.3,1559,1127,231.8353992647,-2725.62,31072.9,-462.47175,204.137521301185
"87","11413",0.93,17.5,27,6427,1384,41.3963259162,-1278.28,-74.3984,-240.83875,40.7068623914699
"88","11417",0.93,17.9,26.4,6031,1390,59.4517799566,-1530.75,-79.7177,-259.158,52.9701366315088
"89","11423",0.95,17.9,25.6,6328,1333,49.3420450412,-1385.66,-72.0746,-244.796,46.1701666583468
"90","1145",0.88,26.8,27.7,3542,1454,112.2058941224,-2102.74,-25.7287,-354.42225,97.2080138907038
"91","11468",0.94,19.8,31,6244,1109,34.8776442625,-1517.97,-36.4714,-164.87325,35.59612509305
"92","11469",0.94,21.4,32.9,5708,1072,28.5559096528,-1415.71,-34.73895,-157.95125,31.9376906008573
"93","11495",0.87,13.3,18.2,4163,1646,70.853150167,-1488.45,-129.316,-361.232,67.3041082531111
"94","11502",0.9,16.9,24.5,5707,1387,46.1667300612,-1459.46,-61.64575,-241.26475,45.1596917326179
"95","11512",0.93,23.3,29.4,5989,1085,37.8822106661,-1597.83,-33.71495,-171.93025,37.0639260099962
"96","1152",0.79,26.5,27.9,2141,1211,97.9496697806,-2225.72,-21.68205,-293.54875,92.3999843337965
"97","11521",0.87,12.4,19.9,5172,1633,56.0013054747,-1485.04,-111.455,-320.741,54.6625727973395
"98","11559",0.92,19.4,24,5736,1371,45.157579655,-1368.52,-66.4663,-251.632,44.9998496472279
"99","11562",0.92,19.1,27.3,5575,1246,49.9274325501,-1731.23,-49.2634,-219.46275,46.5780184547447
"100","11563",0.92,19.6,27.3,6000,1233,41.6170995858,-1323.07,-44.037,-198.06,39.9190224260354
"101","11570",0.93,20.8,28.5,6305,1137,27.8797860267,-1054.87,-35.3798,-162.33175,28.6221622481463
"102","11587",0.96,29.6,41.4,8185,765,21.4783832169,-1278.43,-9.70177,-76.538075,22.0163348349853
"103","11625",0.94,34.3,37.4,6441,1055,25.3988427078,-1201.82,-19.2044,-143.129,26.6589230695469
"104","11628",0.84,18.6,21.2,3161,1638,48.9896651372,-1138.39,-65.9018,-320.9935,53.811769042943
"105","11630",0.95,38.1,41.3,6468,949,27.3279359588,-1505.87,-13.4107,-120.2615,28.3823208757552
"106","11635",0.96,44.2,48.3,7200,761,21.5011082748,-1523.14,-6.56201,-71.63655,22.595385631544
"107","11654",0.8,13.7,14.6,2781,1536,85.9640893269,-2022.57,-90.6105,-396.9335,87.2810695319247
"108","11659",0.94,31.5,33,6193,1136,44.9372162327,-1757.49,-24.9571,-196.16,43.5609747846972
"109","11665",0.87,19.8,20.8,3420,1330,82.3394120448,-2004.55,-67.28855,-346.48025,82.6071890208881
"110","11671",0.95,35.8,38,7048,1016,23.8914049221,-1132.88,-17.3528,-133.316,24.4666491578154
"111","11700",0.92,24.3,26,4820,1270,53.8132090888,-1467.06,-38.0916,-237.9155,50.5743029187561
"112","11703",0.93,30.2,31.7,5857,1220,46.2063690365,-1654.33,-29.63365,-220.95275,48.3560725343456
"113","11706",0.94,31.2,33.5,5604,1130,54.0785717052,-1833.33,-25.1003,-203.055,49.9504972101022
"114","11720",0.95,36,38.7,6118,963,43.1083503338,-1654.8,-14.74605,-155.36625,37.7253153258947
"115","11726",0.95,37,40.5,7048,929,30.9545035642,-1601.8,-13.999,-126.117,29.9892308098875
"116","11729",0.96,39.6,43.8,6630,814,27.0122555283,-1613.68,-9.828305,-99.82625,26.8451293200472
"117","11736",0.85,22.9,24.4,3135,1242,93.2363083256,-1836.72,-52.6059,-315.46525,89.6386372291309
"118","11766",0.95,39.5,42,6855,951,30.1507534575,-1247.69,-14.45425,-137.88775,29.3287527026157
