"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","predicted"
"682","6114",0.91,12.4,13.9,6903,1679,58.8370574181,55.3063747141873
"683","6121",0.94,16,17.6,8217,1327,35.5205655668,37.6444500437988
"684","6122",0.88,10.1,13,5997,1866,64.8427439574,74.5311256099542
"685","6124",0.95,19.2,20.9,7297,1112,36.2159054742,31.7196480083767
"686","6157",0.88,10.9,13.1,6533,1882,78.1042331723,68.3406478268556
"687","6176",0.94,17.2,20.3,7422,1119,33.7054340696,30.5272690059517
"688","6189",0.96,20.6,24.3,8541,954,25.9911171063,25.3205797576913
"689","6199",0.97,25.4,29.1,9050,690,20.8707112023,21.4751874616829
"690","6203",0.91,13.5,15.2,5870,1580,56.6158244068,53.8745854470462
"691","623",0.88,12.3,17.5,6208,1830,54.7787755031,65.7602081987535
"692","6235",0.96,22.6,24.3,7815,889,23.342400089,25.5913995323784
"693","6239",0.96,23,25.9,8008,842,26.1275249816,24.896050660494
"694","6258",0.92,16.6,17.9,7108,1319,41.9525287388,39.1215649019124
"695","6262",0.94,17.9,19.6,8311,1152,26.9061520544,31.1226035623011
"696","627",0.97,25.2,36.6,7537,759,26.1600991219,22.7038069578206
"697","6271",0.95,23.3,25.1,7965,908,28.0860048188,25.5187322849014
"698","6280",0.96,23.9,25.4,8948,903,23.5896190552,23.2362245738034
"699","6285",0.96,24.5,25.9,8948,812,21.8261517669,22.9981018690382
"700","6293",0.97,29.7,31.3,8100,634,20.377554261,20.2471804711008
"701","6297",0.91,14,16,6885,1555,50.0470367368,47.8977179607509
"702","6326",0.94,19.1,21.5,7627,1093,27.7217948257,29.5742392981223
"703","6328",0.94,19.4,22.2,8055,1140,31.5792678266,29.1907762061867
"704","6356",0.87,8.9,9.8,5525,2183,50.8870464002,93.2702334403447
"705","6357",0.86,8.9,10.7,4999,2155,111.3440418889,91.3358529455029
"706","6363",0.9,11.7,13.7,5712,1752,73.0277299261,61.8078229207636
"707","6373",0.92,14.2,14.9,7503,1542,34.2709112031,48.7997947088727
"708","6385",0.94,18.9,20.7,6139,1076,22.3340289605,33.1753776589528
"709","6388",0.65,3.9,7,929,908,212.5217585857,182.312319193662
"710","6400",0.86,8.4,9.2,5323,2278,54.8080117672,102.806381652628
"711","6418",0.9,12.9,13.4,7046,1770,47.1250368378,59.2886450795598
"712","6440",0.57,5.6,6.8,1038,1030,165.939659986,145.449648800977
"713","6455",0.91,12,14.8,5883,1693,71.8338084596,58.469471825951
"714","6459",0.91,13.7,15.2,5605,1492,32.5435071626,55.1071366521469
"715","6464",0.92,13.6,16.3,6557,1463,33.031553737,47.7865285952551
"716","6467",0.92,15.7,16.9,7121,1459,36.8680741963,42.0361844511235
"717","6477",0.94,17.9,20.4,6589,1136,23.6867167558,30.3506654656093
"718","649",0.98,34.1,46.9,8607,503,18.4250849769,20.1910622392551
"719","6492",0.88,9.5,11.8,5458,2002,81.7726427907,80.1094915379607
"720","65",0.79,12,13.1,3141,1936,42.9332483893,88.3666537146052
"721","6504",0.94,13.8,17.2,6675,1431,49.3564029127,41.389634710686
"722","6522",0.86,9.1,10.2,4929,2143,72.4253899042,98.5200519413724
"723","6523",0.95,17.3,20.5,7506,1111,29.7749096065,30.4645420806852
"724","6533",0.86,8.6,11.1,4619,2138,82.0790301389,97.9017780731618
"725","6536",0.83,9.3,11.7,4115,1950,102.401956538,99.0097428478582
"726","655",0.91,11.5,20.5,6398,1662,55.1884199985,55.3063759785703
"727","67",0.84,10.8,12.9,3603,1767,56.807380238,82.985266031827
"728","670",0.96,22.8,31.1,8434,876,23.5728602035,23.7043778165391
"729","681",0.97,26.5,37.1,8876,701,21.2102908352,20.560461801014
"730","6833",0.89,9.9,19.5,5808,1907,66.3708839547,64.9544388210102
"731","6834",0.89,9.5,18.8,5329,1869,49.3306295701,69.8942132111521
"732","684",0.96,24.4,38.5,7962,790,26.0430214378,23.3194325707873
"733","6845",0.93,12.9,24.8,6465,1506,49.249551103,44.4975824118537
"734","685",0.97,26.2,37.5,9255,740,20.1101063921,21.0991607131026
"735","6857",0.95,16,29.7,7567,1069,28.0154646364,28.8008346163276
"736","6878",0.9,9.1,19.9,6066,1792,42.0099005196,61.6224176780442
"737","688",0.97,28,38.2,8785,645,16.8046954111,19.9689196845541
"738","6882",0.92,12.3,24,5648,1516,36.7037632444,54.25138062376
"739","6883",0.93,12.5,26.5,6883,1354,31.1133249309,41.5185921347567
"740","6886",0.93,15.2,23.1,6218,1370,40.1046352143,39.8935469609589
"741","6907",0.96,17.4,35,7448,907,23.7500552081,25.5208855302268
"742","691",0.97,28.3,38.5,9286,653,18.8879900509,19.4016229849862
"743","6914",0.97,23,42.5,8961,688,18.3252401496,22.0197398786072
"744","6924",0.89,8.3,19.3,5653,1948,69.9411829711,73.3465330559452
"745","6932",0.79,7.2,13.3,3578,2194,93.3636337007,108.916888703772
"746","6937",0.94,14.4,29.8,6970,1134,32.2987276737,32.2013085475545
"747","6940",0.95,15.3,28.9,8019,1072,19.8441242647,28.9828505693658
"748","6942",0.95,16.2,29,7905,1106,27.5751593505,28.7516780310048
"749","6943",0.84,6.4,14.4,4558,2325,115.0832063847,110.961377822708
"750","6946",0.95,15.7,31.1,8312,1159,25.9339200345,28.4133469135819
"751","6949",0.96,17.6,32.6,7689,975,19.1915056166,27.5462919783996
"752","6950",0.96,17,33.5,7056,977,33.3160881189,26.5095906629275
