%IncMSE,IncNodePurity,varnames,midpoints
16.687249164424077,339863.06313538365,"-Inf to
-8.2",-Inf
5.933371730687857,4144.32651255942,"-4.4 to
-4.2",-4.3
6.341332375133861,4221.787456080301,"-4.2 to
-4",-4.1
4.069601019143892,3122.742752888441,"-4 to
-3.8",-3.9
2.257802344468112,2457.697442701551,"-3.8 to
-3.6",-3.7
2.667767156635937,1500.9062800889421,"-3.6 to
-3.4",-3.5
5.055231878918537,2349.0088574940614,"-3.4 to
-3.2",-3.3
1.3281465515708815,2007.0328110617274,"-3.2 to
-3",-3.1
3.1331271825690674,1609.899021918009,"-3 to
-2.8",-2.9
2.9277051787836563,1934.1629346346222,"-2.8 to
-2.6",-2.7
0.8646338015683813,1454.118652144532,"-2.6 to
-2.4",-2.5
22.87081959423007,492998.3225072968,"-8.2 to
-7.1",-7.65
2.2713206125270555,1757.8921741271943,"-2.4 to
-2.3",-2.35
4.242358900948988,1438.528152811911,"-2.3 to
-2.2",-2.25
3.598555097266765,1454.53531034719,"-2.2 to
-2.1",-2.15
2.7063718225026254,1674.4625748578044,"-2.1 to
-2",-2.05
3.744946589301783,1415.1525831336655,"-2 to
-1.9",-1.95
2.873467327386982,1840.015811907937,"-1.9 to
-1.8",-1.85
3.4445423318463497,1323.1467200860566,"-1.8 to
-1.7",-1.75
5.225798765050937,1580.000933027067,"-1.7 to
-1.6",-1.65
0.862383738300159,1242.465584918276,"-1.6 to
-1.5",-1.55
2.921459623798496,2063.6884652247263,"-1.5 to
-1.4",-1.45
18.263689891260082,392282.2678469689,"-7.1 to
-6.4",-6.75
4.390233245060836,2824.63137105199,"-1.4 to
-1.3",-1.35
2.370024698870316,2453.9840574033146,"-1.3 to
-1.2",-1.25
3.0017438116474766,3376.072907159349,"-1.2 to
-1.1",-1.15
6.949747149286698,3562.5697109348343,"-1.1 to
-1",-1.05
7.954421791632556,4756.845424513222,"-1 to
-0.9",-0.95
9.488367054218712,8409.960688747684,"-0.9 to
-0.8",-0.85
10.95052327830101,20360.199036761154,"-0.8 to
-0.7",-0.75
12.886057059891614,35907.023870738354,"-0.7 to
-0.6",-0.65
8.28884683339521,25363.704680422838,"-0.6 to
-0.5",-0.55
11.780105595802247,94843.7155635778,"-0.5 to
-0.4",-0.45
14.023798184200647,133978.1711206291,"-6.4 to
-5.9",-6.15
9.110082124463396,137201.58127306914,"-0.4 to
-0.3",-0.35
8.231771103201767,112195.14386151219,"-0.3 to
-0.2",-0.25
5.29097398403272,20045.897566570846,"-0.2 to
-0.1",-0.15
3.9979766772702297,6100.720251288467,"-0.1 to
0",-0.05
8.767883681368328,52250.34454327198,"-5.9 to
-5.5",-5.7
6.966481162301589,18300.613073492103,"-5.5 to
-5.2",-5.35
7.772353326821594,16486.550498172433,"-5.2 to
-4.9",-5.05
7.055532196778964,10398.678922687097,"-4.9 to
-4.6",-4.75
5.91264154467606,5276.844111770318,"-4.6 to
-4.4",-4.5
18.92891554749431,733494.7309428782,Inf,2
10.172536031886516,20146.450074572174,VSA,VSA
14.914973025088003,22849.237035648286,GSA,GSA
6.3121106320870775,51403.36700579889,PLD,PLD
6.754651833950284,5483.06383957295,LCD,LCD
