%IncMSE,IncNodePurity,varnames,midpoints
29.387454993066637,627075.8063757686,"-Inf to
-10.4",-Inf
1.8341115334425957,2236.4200558569496,"-5.7 to
-5.4",-5.55
3.4170751724792865,1615.748082950912,"-5.4 to
-5.1",-5.25
5.147532120507824,2375.134934631416,"-5.1 to
-4.9",-5
5.229965714158333,4584.781845306924,"-4.9 to
-4.7",-4.8
3.6236824808275743,3524.8668235664827,"-4.7 to
-4.5",-4.6
3.425249433385854,1587.1915247358404,"-4.5 to
-4.3",-4.4
5.257454356101486,6063.2912620553725,"-4.3 to
-4.1",-4.2
4.169074087448383,3398.936341861026,"-4.1 to
-3.9",-4
5.040437304308725,6350.376590449903,"-3.9 to
-3.7",-3.8
5.014325832104517,3418.338582196106,"-3.7 to
-3.5",-3.6
13.260068638035992,60675.23889021465,"-10.4 to
-9",-9.7
5.753275846979793,5372.843706247049,"-3.5 to
-3.3",-3.4
5.431516518855095,9138.131506929496,"-3.3 to
-3.1",-3.2
5.171195723037495,4325.113943430247,"-3.1 to
-2.9",-3
6.591227502625444,4901.401616213927,"-2.9 to
-2.7",-2.8
5.885093973289053,7003.466159410391,"-2.7 to
-2.5",-2.6
5.623985761945542,9215.820095078314,"-2.5 to
-2.3",-2.4
4.839037738489068,2832.6237771827305,"-2.3 to
-2.2",-2.25
5.284601085045143,3806.303788919543,"-2.2 to
-2.1",-2.15
4.120754566544726,8306.913234037249,"-2.1 to
-2",-2.05
4.371455270245065,14652.64967834054,"-2 to
-1.9",-1.95
11.099160617695656,29274.668536172216,"-9 to
-8.2",-8.6
5.31902733130953,23482.842524774045,"-1.9 to
-1.8",-1.85
3.195493828852738,16722.36138800091,"-1.8 to
-1.7",-1.75
3.981129499612579,21561.033404737515,"-1.7 to
-1.6",-1.65
4.326302616850841,19627.65161613163,"-1.6 to
-1.5",-1.55
4.8243548669386564,51234.43139086023,"-1.5 to
-1.4",-1.45
5.839057637337047,103637.1126135122,"-1.4 to
-1.3",-1.35
5.0395851962572005,59024.099569810605,"-1.3 to
-1.2",-1.25
4.341276098284399,38784.74501867998,"-1.2 to
-1.1",-1.15
4.132308556630982,30422.30195509591,"-1.1 to
-1",-1.05
2.5574570148520244,14119.290671193854,"-1 to
-0.9",-0.95
7.453878774602475,18490.176910014703,"-8.2 to
-7.6",-7.9
3.0462355785106263,13279.516072869488,"-0.9 to
-0.8",-0.85
2.551445825915751,3319.9056033237666,"-0.8 to
-0.7",-0.75
4.840281174596559,1946.9189673068197,"-0.7 to
-0.6",-0.65
4.369681167362008,1980.4166158774162,"-0.6 to
-0.5",-0.55
3.8797717039623967,3662.111577284689,"-0.5 to
-0.4",-0.45
2.679654874899121,1919.8700362348727,"-0.4 to
-0.3",-0.35
6.41987093719348,3306.766517936125,"-0.3 to
-0.2",-0.25
1.9226318420969817,1992.326351252517,"-0.2 to
-0.1",-0.15
4.1208302738462566,1694.1934083192796,"-0.1 to
0",-0.05
6.620168700982329,9256.772542569408,"-7.6 to
-7.1",-7.35
4.435650208357926,4101.1548500558765,"-7.1 to
-6.7",-6.9
3.7115248084633796,2970.4111105682227,"-6.7 to
-6.3",-6.5
1.7721280614377493,1953.7260614574384,"-6.3 to
-6",-6.15
3.761409214492117,1703.262443526513,"-6 to
-5.7",-5.85
13.320774492292804,313942.3319170571,Inf,2
5.178238256875711,3809.375025155323,VSA,VSA
8.459136819272802,10473.686273065294,GSA,GSA
4.928296370492115,36241.681311609245,PLD,PLD
4.069984259311749,3135.6368169082566,LCD,LCD
7.601398888242989,4119.67419336256,Min,Min
5.966272104685667,94893.65514446129,Median,Median
9.310466343469422,50166.401010789945,Q1,Q1
