"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","Min","Median","Q1","predicted"
"58","10622",0.99,51.5,54.1,9138,262,1.2816088019,-915.384,0,-5.1430175,1.27729264404532
"59","10637",0.98,34.2,36.5,7264,510,1.7996015208,-995.136,-2.74745,-39.537275,1.76002563480478
"60","10638",0.98,33.4,36.2,6919,509,1.6559276802,-973.235,-2.91116,-37.2987,1.6625336708863
"61","1064",0.91,40.6,41.8,4307,1119,6.2428891036,-1780.82,-14.8942,-213.13725,6.08519266119407
"62","10665",0.99,46.6,49.1,7622,297,1.256106963,-912.833,0,-8.739695,1.26512585100444
"63","10668",0.99,48,52.2,7317,272,1.244204585,-942.989,0,-6.720065,1.27277362810663
"64","10675",0.96,26.1,28.6,6962,762,2.4111801481,-1233.97,-12.3642,-82.5447,2.31687366688063
"65","10683",0.95,21.2,22.9,7033,947,2.0259241873,-967.685,-26.9973,-119.34,2.08451594793434
"66","10686",0.96,25.4,28,6330,768,1.9043566929,-979.289,-14.818,-83.3,1.98379635608701
"67","10691",0.97,30.7,31.3,6816,627,2.3190011363,-1203.09,-6.5763,-58.9452,2.13101854156243
"68","1072",0.9,38.7,40.2,4555,1209,6.3127420387,-1601,-14.79995,-228.738,6.40866351646708
"69","10722",0.92,16.9,19.9,5477,1170,2.8245207679,-1139.71,-55.50995,-197.855,3.02570006303794
"70","10736",0.9,12.1,16.6,5944,1638,2.6002330168,-851.65,-99.3918,-251.564,3.20443375267307
"71","10759",0.98,39.5,43.9,7957,395,1.4606599395,-862.502,-0.0755858,-19.9221,1.43032545947812
"72","10798",0.98,36.8,38.3,8663,477,1.4947772212,-881.985,-0.787612,-26.02865,1.52884838447668
"73","10801",0.98,37.7,39.8,8251,420,1.3199894127,-747.107,-0.375296,-20.367525,1.40268999201618
"74","10814",0.99,48.4,50.8,9194,294,1.2975768529,-798.531,0,-7.766125,1.28466598277433
"75","10835",0.98,38,38.8,7246,450,1.8605891702,-1011.95,-0.760926,-29.44915,1.74877707493192
"76","10864",0.95,19.7,24.2,6544,988,2.5243957001,-1024.83,-32.964,-144.791,2.48960944551448
"77","10865",0.96,22.4,25.6,6373,859,2.1791733476,-1019.41,-22.3616,-106.8385,2.18812694597579
"78","10884",0.98,39.7,41.6,7438,410,1.6684616356,-982.208,-0.149433,-23.327975,1.61907640490326
"79","10908",0.99,48.2,51.3,7295,273,1.2497418802,-925.656,0,-6.909525,1.26436699914904
"80","10923",0.91,18.2,20.8,5993,1548,5.5741940147,-1423.62,-94.43155,-297.8505,5.47209743699151
"81","10929",0.92,23.5,25,5666,1336,5.9120032374,-1503.16,-59.3287,-254.24125,5.55823424912516
"82","1093",0.8,28.5,29.3,2256,1186,16.0750773334,-2016.67,-18.9867,-299.409,17.5343132373019
"83","10941",0.92,23.9,25.6,5538,1346,5.7764344169,-1501.3,-56.4855,-258.9515,5.57691057801245
"84","1096",0.88,28.3,29.4,3981,1419,12.9755730373,-1733.47,-33.8265,-356.983,11.3730687082323
"85","10969",0.96,32.8,35.7,6993,837,2.6939356086,-1559.57,-13.8823,-101.1805,2.68277113444926
"86","10988",0.88,25.5,26.6,4891,1444,6.208703636,-1701.33,-56.9958,-285.3455,6.61868328237093
"87","10997",0.95,28.1,30.2,6091,1023,3.8341789635,-1497.74,-29.8689,-170.069,3.77346044810072
"88","11004",0.95,34.4,36.9,7025,886,3.0370472576,-1279.91,-15.0402,-115.1565,2.93603084438241
"89","11006",0.89,16.1,18.3,4423,1579,9.2620712428,-1755.35,-104.669,-345.22975,8.43742386161852
"90","11024",0.95,32.6,34.8,6205,967,3.3893241161,-1444.18,-21.0811,-139.033,3.32449481368445
